training_loss_SGD,training_acc_SGD,testing_loss_SGD,testing_acc_SGD,testing_loss_SGD_S,testing_acc_SGD_S,training_loss_Adam,training_acc_Adam,testing_loss_Adam,testing_acc_Adam,testing_loss_Adam_S,testing_acc_Adam_S
0.009470615258216858,0.5137400000000001,0.008799562871456145,0.5591,0.02050642030239105,0.22260000000000002,0.012379775910377502,0.35392,0.010591069746017456,0.4504,0.02479097803035259,0.5857
0.00951640568614006,0.5116400000000001,0.009057953429222106,0.5431,0.020436398243904114,0.21100000000000002,0.011003047585487365,0.42614,0.010300506901741028,0.4682,0.020375310193474293,0.6837000000000001
0.009478565497398377,0.51404,0.00858658596277237,0.5609000000000001,0.02173192195892334,0.22240000000000001,0.010696256422996521,0.44364000000000003,0.009635547685623169,0.5008,0.03031077230968952,0.6766
0.009426598514318466,0.51436,0.008511097472906112,0.5669000000000001,0.020642273354530335,0.2267,0.010612559685707092,0.44824,0.009644223523139954,0.501,0.020229212947018148,0.7232000000000001
0.00939384479880333,0.51736,0.00864517988562584,0.5662,0.018965754008293152,0.2326,0.010350066206455231,0.46140000000000003,0.01006352195739746,0.47740000000000005,0.026179103552589414,0.6616000000000001
0.008939891335964203,0.53966,0.008319003123044968,0.5737,0.02598020703792572,0.2023,0.010306263484954835,0.45906,0.009450826954841614,0.516,0.021333770552666186,0.7629
0.008965271652936936,0.536,0.008228415393829345,0.5834,0.02464720528125763,0.2054,0.010132281756401062,0.47400000000000003,0.009454865026474,0.5116,0.024642034115271567,0.6984
0.008867706865072251,0.5389200000000001,0.00837802852988243,0.5744,0.024160297298431395,0.20320000000000002,0.010058674762248993,0.47436000000000006,0.009329761970043182,0.5146000000000001,0.02341489126343608,0.7426
0.008897038589715958,0.54052,0.008294686949253081,0.5765,0.022032886457443238,0.21610000000000001,0.010095412009954452,0.47134000000000004,0.009310907912254333,0.5189,0.01918555175729513,0.7696000000000001
0.008883161665201186,0.5421600000000001,0.008442808187007904,0.5719000000000001,0.025234366297721862,0.1854,0.009989149000644683,0.47924000000000005,0.009557645642757415,0.4993,0.02019394878557563,0.7323000000000001
0.008624760284423829,0.5529000000000001,0.008020221042633056,0.5918,0.02155775647163391,0.22490000000000002,0.009939206221103667,0.48154,0.008956141644716262,0.5366000000000001,0.023980613607900738,0.7539
0.008627810777425766,0.55432,0.008011246401071549,0.5923,0.02153965470790863,0.21630000000000002,0.009843531653881073,0.48866000000000004,0.00936179758310318,0.519,0.023315199714304208,0.7336
0.008607109837532044,0.55234,0.007996451312303542,0.5899,0.02287105851173401,0.1993,0.0098006376349926,0.49084000000000005,0.009363074159622193,0.5146000000000001,0.01791805949400425,0.7552
0.008609695154428483,0.55662,0.008212767338752747,0.5842,0.02333507754802704,0.2136,0.009822492215633392,0.48996000000000006,0.009006312358379363,0.5329,0.020104589681910277,0.758
0.008647272062301635,0.5541,0.007993326300382615,0.5937,0.023048927736282348,0.2112,0.00976342477798462,0.4912,0.009158140152692795,0.5247,0.01772202643212974,0.7739
0.008486627683639527,0.56232,0.007912610536813736,0.5945,0.02302690100669861,0.21030000000000001,0.009781372330188751,0.49244000000000004,0.009128774988651276,0.5232,0.022984173366008998,0.7263000000000001
0.008450123108625413,0.5627800000000001,0.008029611313343048,0.5867,0.021414700770378114,0.2218,0.009725405176877975,0.49582000000000004,0.009061211949586869,0.5338,0.01931782346910298,0.7717
0.008455433210134507,0.56408,0.008028597015142441,0.5866,0.02353833565711975,0.20350000000000001,0.009605289008617401,0.50314,0.008817870408296584,0.545,0.020125317140319943,0.7841
0.008463061701059342,0.5641200000000001,0.007953297859430313,0.5905,0.021606556057929993,0.21480000000000002,0.009589632985591888,0.50336,0.008989900100231171,0.5373,0.0226158507197845,0.7476
0.008432200446128845,0.5637000000000001,0.007996361500024796,0.5912000000000001,0.022103643870353698,0.2152,0.009588020145893097,0.5028600000000001,0.009069435811042786,0.5424,0.01665943149258852,0.7958000000000001
0.008395340847969055,0.5652,0.007893469768762588,0.5968,0.022566338896751404,0.2147,0.009598983243703842,0.5066200000000001,0.009419025421142578,0.5115000000000001,0.018345625227832795,0.7594000000000001
0.00843439722418785,0.5640400000000001,0.007914121043682098,0.5958,0.020391569995880127,0.2247,0.00955742870569229,0.5069600000000001,0.008996610671281815,0.538,0.019152349365237357,0.7732
0.008413788427114486,0.56498,0.007904793339967728,0.5924,0.021541651248931884,0.22360000000000002,0.009523775131702423,0.50888,0.008802702701091767,0.548,0.02069756634738803,0.7839
0.008381191886663437,0.56574,0.007879020547866822,0.5963,0.02213457534313202,0.21930000000000002,0.009516692003011704,0.5082000000000001,0.009262568604946137,0.5281,0.01917752144404769,0.789
0.008356632075309754,0.5681400000000001,0.00790905140042305,0.5929,0.021999893760681153,0.22010000000000002,0.009548639309406281,0.50698,0.009124430137872695,0.5263,0.018977937522740962,0.7622
0.008348423231840133,0.5671200000000001,0.007864003360271455,0.5987,0.02194249584674835,0.22010000000000002,0.009476557948589325,0.51288,0.009114495277404785,0.5319,0.01927255647096634,0.7684000000000001
0.00837665017604828,0.5673600000000001,0.00788524767756462,0.5941000000000001,0.02195401439666748,0.2144,0.00952377228140831,0.5117200000000001,0.009259962779283523,0.5312,0.017301588263486028,0.778
0.00835950325012207,0.5667000000000001,0.007853280586004258,0.5983,0.02147129237651825,0.2177,0.009547784626483917,0.5108600000000001,0.008611464655399323,0.557,0.02136570308448434,0.7849
0.008371386790275574,0.56586,0.007845379763841628,0.5986,0.021459809398651122,0.21530000000000002,0.009359852043390274,0.51802,0.008529664146900177,0.5666,0.020149516773329972,0.8046000000000001
0.008325802545547486,0.56838,0.007852366346120835,0.5987,0.021116542553901673,0.2225,0.009416236112117768,0.5143000000000001,0.00885243126153946,0.549,0.027437685746856927,0.7387
0.008350226621627807,0.56618,0.007856872290372848,0.5987,0.02153774631023407,0.2197,0.009427398674488068,0.51248,0.008925578773021699,0.5516,0.021524991836327313,0.789
0.008360440363883972,0.5671400000000001,0.007838893538713455,0.5986,0.02104232475757599,0.22390000000000002,0.009425173474550247,0.5169400000000001,0.008946600472927094,0.5451,0.021256142729810478,0.7624000000000001
0.00835235810995102,0.56966,0.007835118162631988,0.5994,0.02140349497795105,0.217,0.009372755559682847,0.5143800000000001,0.008942595970630646,0.5446,0.020137265252257588,0.771
0.00832940860748291,0.56632,0.0078404559135437,0.5973,0.021497037982940673,0.21350000000000002,0.009424217482805253,0.5148600000000001,0.008811839735507965,0.5488000000000001,0.019081326783529518,0.7785000000000001
0.008327426875829696,0.5663600000000001,0.007853254562616348,0.5983,0.02214311137199402,0.2162,0.009405615139007568,0.5146400000000001,0.00858296811580658,0.5670000000000001,0.022915193309247493,0.7741
0.008313480273485184,0.57008,0.007830750441551208,0.6005,0.02164756109714508,0.2152,0.009382349853515624,0.5164000000000001,0.008802810162305831,0.5515,0.023645597449824213,0.7541
0.008331027646064759,0.5694400000000001,0.007826619595289231,0.5998,0.021551582407951356,0.21830000000000002,0.009371740235090256,0.5175200000000001,0.008675995206832886,0.5596,0.02473407449153423,0.7709
0.008295628190040589,0.5717000000000001,0.007829350477457047,0.5999,0.02171867401599884,0.22010000000000002,0.009308898782730102,0.5221600000000001,0.009112629914283752,0.5388000000000001,0.020173227337362765,0.7745000000000001
0.008352955325841904,0.5660200000000001,0.00784628979563713,0.5962000000000001,0.021434420704841615,0.21710000000000002,0.009385467466115951,0.51734,0.008579360496997833,0.5673,0.022281696878577468,0.7861
0.008327963877916336,0.56766,0.007836197966337204,0.5984,0.02152403326034546,0.218,0.009355719243288041,0.51764,0.008948063760995864,0.5532,0.02424968771695197,0.7288
