training_loss_SGD,training_acc_SGD,testing_loss_SGD,testing_acc_SGD,testing_loss_SGD_S,testing_acc_SGD_S,training_loss_Adam,training_acc_Adam,testing_loss_Adam,testing_acc_Adam,testing_loss_Adam_S,testing_acc_Adam_S
0.01118362075805664,0.26990000000000003,0.009631007039546967,0.3381,0.015361959743499756,0.20090000000000002,0.006887042170763016,0.50678,0.006341623163223267,0.5419,0.03114024225939274,0.6813
0.009874943125247955,0.33242000000000005,0.009162816458940506,0.3724,0.02010209105014801,0.1724,0.006856805626153946,0.51032,0.006366869074106217,0.5442,0.03234106432400763,0.6837000000000001
0.009793489637374878,0.34202000000000005,0.009000885742902755,0.3967,0.02539846534729004,0.17170000000000002,0.0068491563618183135,0.5100800000000001,0.0062962650001049045,0.5443,0.02954137605308235,0.6997
0.00972142284154892,0.34440000000000004,0.008818671596050263,0.39690000000000003,0.017868937849998476,0.19540000000000002,0.006795682859420777,0.5129400000000001,0.006291160088777542,0.5477000000000001,0.029265902996967436,0.7086
0.009664397460222244,0.35052000000000005,0.009992326647043227,0.342,0.017873850452899933,0.1884,0.0067857857477664945,0.51236,0.006339784479141236,0.5452,0.02954294300039768,0.6986
0.008918860569000243,0.38756,0.008173223048448563,0.43560000000000004,0.024688221073150635,0.1875,0.006770899400711059,0.51454,0.006268228876590729,0.5502,0.030831168600498438,0.7039000000000001
0.008561833742856979,0.40634000000000003,0.008036545073986054,0.4374,0.024607352495193482,0.1557,0.006785943534374237,0.51634,0.0062855700850486754,0.5472,0.03157134000281692,0.6990000000000001
0.008423461370468139,0.41738000000000003,0.007820575881004333,0.4612,0.018093130695819856,0.22260000000000002,0.006759765611886978,0.5126400000000001,0.006304759037494659,0.5473,0.030685930635358096,0.7062
0.008482508194446564,0.41624000000000005,0.00786732884645462,0.447,0.023733441090583802,0.14700000000000002,0.006771235618591309,0.5158600000000001,0.00632705892920494,0.5472,0.029624788227285738,0.7049000000000001
0.008386135801076888,0.42150000000000004,0.007881666272878647,0.4536,0.02281086013317108,0.15710000000000002,0.006753409633636475,0.5146400000000001,0.006283587193489075,0.5551,0.03089593387305498,0.7012
0.007877648022174836,0.44966000000000006,0.007585887789726257,0.468,0.023488627457618712,0.17450000000000002,0.00669221559047699,0.5181,0.006249243623018264,0.5518000000000001,0.02984300239628613,0.7031000000000001
0.00777619070649147,0.45328,0.0074479444146156315,0.4722,0.021880431079864503,0.1763,0.006717733960151673,0.51758,0.006231251555681229,0.5505,0.03239020108612359,0.7015
0.007742269682884217,0.45842000000000005,0.007336788934469223,0.4818,0.02451825547218323,0.1456,0.006727306153774261,0.5180600000000001,0.0062300489246845244,0.554,0.030958825962999464,0.7079000000000001
0.007703347275257111,0.46092000000000005,0.007067245584726334,0.49710000000000004,0.026624390602111817,0.14830000000000002,0.0066684386420249936,0.5216200000000001,0.006219458228349685,0.5521,0.032902351362670064,0.7045
